Linux Kernel                          total |       text       data        bss
--------------------------------------------------------------------------------
vmlinux                            14733663 |   11035501    3413602     284560
--------------------------------------------------------------------------------
drivers/built-in.a                  3731963 |    3466925     225555      39483
fs/built-in.a                       2816072 |    2474011     291563      50498
net/built-in.a                      2228441 |    2065005     146923      16513
kernel/built-in.a                   2124358 |    1672240     351195     100923
lib/built-in.a                       878085 |     838686       4251      35148
mm/built-in.a                        801163 |     684592      84314      32257
block/built-in.a                     288799 |     272493      14402       1904
arch/arm/built-in.a                  222688 |     193940      27923        825
io_uring/built-in.a                  145010 |     136433       8569          8
security/built-in.a                   83476 |      80195       3209         72
crypto/built-in.a                     83465 |      76297       7137         31
init/built-in.a                       36591 |      27304       9171        116
ipc/built-in.a                        16889 |      15767       1110         12
certs/built-in.a                       1203 |       1187         12          4
usr/built-in.a                          516 |        516          0          0
--------------------------------------------------------------------------------
sum                                13458719 |   12005591    1175334     277794
delta                               1274944 |    -970090    2238268       6766


drivers                               total |       text       data        bss
--------------------------------------------------------------------------------
drivers/built-in.a                  3731963 |    3466925     225555      39483
--------------------------------------------------------------------------------
drivers/mtd/built-in.a               345670 |     335866       6688       3116
drivers/tty/built-in.a               327946 |     284042      23882      20022
drivers/net/built-in.a               305793 |     285578      20171         44
drivers/base/built-in.a              286548 |     273293      12224       1031
drivers/pci/built-in.a               254613 |     249705       4779        129
drivers/ata/built-in.a               237681 |     204454      31115       2112
drivers/mmc/built-in.a               206244 |     199108       7080         56
drivers/clk/built-in.a               194945 |     176602      18202        141
drivers/regulator/built-in.a         191055 |     182004       9035         16
drivers/scsi/built-in.a              155825 |     135333      20010        482
drivers/video/built-in.a             132319 |     112118      12646       7555
drivers/gpio/built-in.a               94532 |      91509       2994         29
drivers/hid/built-in.a                82315 |      78306       3997         12
drivers/mfd/built-in.a                71017 |      66709       4120        188
drivers/of/built-in.a                 68418 |      65330        748       2340
drivers/spi/built-in.a                52908 |      47903       4985         20
drivers/thermal/built-in.a            52847 |      45181       7658          8
drivers/pinctrl/built-in.a            52177 |      51316        856          5
drivers/i2c/built-in.a                51252 |      45552       5672         28
drivers/dma/built-in.a                50259 |      49361        818         80
drivers/iommu/built-in.a              41419 |      38797       2606         16
drivers/cpufreq/built-in.a            39681 |      37237       2396         48
drivers/bus/built-in.a                37942 |      34845       3061         36
drivers/opp/built-in.a                35055 |      34519        436        100
drivers/dma-buf/built-in.a            34032 |      32450       1478        104
drivers/clocksource/built-in.a        32070 |      31083        911         76
drivers/remoteproc/built-in.a         31741 |      31245        476         20
drivers/memory/built-in.a             28948 |      28392        180        376
drivers/rtc/built-in.a                28445 |      25481       2904         60
drivers/input/built-in.a              26748 |      25888        852          8
drivers/virtio/built-in.a             23981 |      23533        448          0
drivers/power/built-in.a              23335 |      18031       4964        340
drivers/phy/built-in.a                22349 |      21462        879          8
drivers/cpuidle/built-in.a            21144 |      18638       2466         40
drivers/block/built-in.a              19853 |      19474        363         16
drivers/irqchip/built-in.a            19693 |      17278       1835        580
drivers/char/built-in.a               19308 |      18061       1167         80
drivers/ptp/built-in.a                16333 |      14945       1376         12
drivers/nvmem/built-in.a              12766 |      12318        444          4
drivers/pwm/built-in.a                11529 |      10429        972        128
drivers/extcon/built-in.a              9598 |       9382        212          4
drivers/leds/built-in.a                8841 |       8601        232          8
drivers/gpu/built-in.a                 8333 |       8045        288          0
drivers/soc/built-in.a                 8031 |       7899        124          8
drivers/perf/built-in.a                7708 |       7665         42          1
drivers/reset/built-in.a               7523 |       7359        164          0
drivers/misc/built-in.a                7325 |       7121        204          0
drivers/pmdomain/built-in.a            7178 |       7066        112          0
drivers/pps/built-in.a                 5155 |       4951        196          8
drivers/mailbox/built-in.a             3850 |       3766         84          0
--------------------------------------------------------------------------------
sum                                 3814278 |    3545231     229552      39495
delta                                -82315 |     -78306      -3997        -12


fs                                    total |       text       data        bss
--------------------------------------------------------------------------------
fs/built-in.a                       2816072 |    2474011     291563      50498
--------------------------------------------------------------------------------
fs/nfs/built-in.a                    618805 |     441246     176839        720
fs/ext4/built-in.a                   614255 |     550404      63275        576
fs/*.o                               549867 |     514001      25650      10216
fs/ubifs/built-in.a                  253794 |     253274        452         68
