Linux Kernel                          total |       text       data        bss
--------------------------------------------------------------------------------
vmlinux                            17122234 |   12547680    4276554     298000
--------------------------------------------------------------------------------
drivers/built-in.a                  5244539 |    4848430     356044      40065
net/built-in.a                      3303302 |    3054070     226545      22687
fs/built-in.a                       2834553 |    2492405     291650      50498
kernel/built-in.a                   2027794 |    1581660     346611      99523
lib/built-in.a                       909689 |     869582       4959      35148
mm/built-in.a                        812269 |     695630      84378      32261
block/built-in.a                     288199 |     271898      14397       1904
arch/arm/built-in.a                  283096 |     242432      39843        821
crypto/built-in.a                    230671 |     199822      20941       9908
io_uring/built-in.a                  145010 |     136433       8569          8
security/built-in.a                   83476 |      80195       3209         72
init/built-in.a                       36475 |      27188       9171        116
ipc/built-in.a                        16889 |      15767       1110         12
certs/built-in.a                        722 |        710          8          4
usr/built-in.a                          516 |        516          0          0
--------------------------------------------------------------------------------
sum                                16217200 |   14516738    1407435     293027
delta                                905034 |   -1969058    2869119       4973


drivers                               total |       text       data        bss
--------------------------------------------------------------------------------
drivers/built-in.a                  5244539 |    4848430     356044      40065
--------------------------------------------------------------------------------
drivers/gpu/built-in.a               837890 |     827497      10217        176
drivers/mtd/built-in.a               411996 |     401927       6949       3120
drivers/net/built-in.a               368069 |     345824      22157         88
drivers/tty/built-in.a               285483 |     248479      16982      20022
drivers/base/built-in.a              283996 |     270789      12168       1039
drivers/ata/built-in.a               235207 |     201688      31407       2112
drivers/mmc/built-in.a               206428 |     199292       7080         56
drivers/regulator/built-in.a         200217 |     190918       9283         16
drivers/clk/built-in.a               198474 |     179899      18434        141
drivers/media/built-in.a             181099 |      85757      95270         72
drivers/input/built-in.a             177177 |     172865       4293         19
drivers/scsi/built-in.a              155601 |     135109      20010        482
drivers/video/built-in.a             142535 |     121478      13502       7555
drivers/gpio/built-in.a              109141 |     105994       3118         29
drivers/hid/built-in.a                82315 |      78306       3997         12
drivers/power/built-in.a              79954 |      70815       8627        512
drivers/mfd/built-in.a                79191 |      74619       4384        188
drivers/rtc/built-in.a                70689 |      66787       3838         64
drivers/cpufreq/built-in.a            67991 |      65275       2668         48
drivers/of/built-in.a                 67357 |      64302        715       2340
drivers/spi/built-in.a                66989 |      61728       5241         20
drivers/dma/built-in.a                56879 |      55736       1063         80
drivers/thermal/built-in.a            54857 |      47151       7698          8
drivers/pinctrl/built-in.a            52057 |      51196        856          5
drivers/i2c/built-in.a                51248 |      45548       5672         28
drivers/leds/built-in.a               46905 |      44745       2148         12
drivers/crypto/built-in.a             44532 |      32268      12256          8
drivers/remoteproc/built-in.a         43347 |      42619        708         20
drivers/memory/built-in.a             40791 |      39971        428        392
drivers/iommu/built-in.a              40107 |      37485       2606         16
drivers/bus/built-in.a                37942 |      34845       3061         36
drivers/block/built-in.a              35849 |      34952        873         24
drivers/opp/built-in.a                35055 |      34519        436        100
drivers/dma-buf/built-in.a            33996 |      32414       1478        104
drivers/clocksource/built-in.a        32070 |      31083        911         76
drivers/hsi/built-in.a                30745 |      30115        630          0
drivers/char/built-in.a               30722 |      28939       1675        108
drivers/hwmon/built-in.a              29857 |      27833       2024          0
drivers/w1/built-in.a                 27830 |      26330       1484         16
drivers/pwm/built-in.a                26984 |      25304       1552        128
drivers/misc/built-in.a               25364 |      24656        708          0
drivers/virtio/built-in.a             23973 |      23525        448          0
drivers/phy/built-in.a                22229 |      21342        879          8
drivers/cpuidle/built-in.a            21108 |      18602       2466         40
drivers/irqchip/built-in.a            19693 |      17278       1835        580
drivers/watchdog/built-in.a           18043 |      16767       1252         24
drivers/soc/built-in.a                17667 |      17175        408         84
drivers/extcon/built-in.a             16911 |      16463        444          4
drivers/ptp/built-in.a                16345 |      14957       1376         12
drivers/counter/built-in.a            15984 |      15516        464          4
drivers/nvmem/built-in.a              12714 |      12266        444          4
drivers/mailbox/built-in.a            10974 |      10682        292          0
drivers/perf/built-in.a                7708 |       7665         42          1
drivers/reset/built-in.a               7211 |       7047        164          0
drivers/pmdomain/built-in.a            7178 |       7066        112          0
drivers/connector/built-in.a           5906 |       5834         40         32
drivers/pps/built-in.a                 5155 |       4951        196          8
drivers/pci/built-in.a                  671 |        663          8          0
--------------------------------------------------------------------------------
sum                                 5314406 |    4914856     359477      40073
delta                                -69867 |     -66426      -3433         -8


net                                   total |       text       data        bss
--------------------------------------------------------------------------------
net/built-in.a                      3303302 |    3054070     226545      22687
--------------------------------------------------------------------------------
net/ipv4/built-in.a                  611101 |     588879      17850       4372
net/core/built-in.a                  588632 |     538908      46512       3212
net/netfilter/built-in.a             555374 |     524225      24663       6486
net/sunrpc/built-in.a                398653 |     331531      64090       3032
net/rxrpc/built-in.a                 211740 |     161076      50551        113
net/bridge/built-in.a                166317 |     164847       1462          8
net/sched/built-in.a                 151458 |     148383       3035         40
net/devlink/built-in.a               125743 |     121564       4163         16
net/xfrm/built-in.a                  124427 |     120635       1812       1980
net/ethtool/built-in.a               101524 |     101221        294          9
net/netlink/built-in.a                40032 |      39059        957         16
net/packet/built-in.a                 35862 |      35519        341          2
net/unix/built-in.a                   33278 |      30527        690       2061
net/phonet/built-in.a                 32756 |      30822        802       1132
net/key/built-in.a                    29292 |      28927        361          4
net/handshake/built-in.a              24965 |      18806       6067         92
net/*.o                               23313 |      22715        546         52
net/8021q/built-in.a                  19845 |      19513        332          0
net/ipv6/built-in.a                   10780 |       9468       1300         12
net/wireless/built-in.a                6259 |       6141         86         32
net/switchdev/built-in.a               5871 |       5718        141         12
net/dns_resolver/built-in.a            4782 |       4566        208          8
net/ethernet/built-in.a                3204 |       3092        112          0
net/llc/built-in.a                     2226 |       2122         88         16
net/802/built-in.a                     2127 |       1947        168         12
--------------------------------------------------------------------------------
sum                                 3309561 |    3060211     226631      22719
delta                                 -6259 |      -6141        -86        -32


fs                                    total |       text       data        bss
--------------------------------------------------------------------------------
fs/built-in.a                       2834553 |    2492405     291650      50498
--------------------------------------------------------------------------------
fs/nfs/built-in.a                    618613 |     441054     176839        720
fs/ext4/built-in.a                   614255 |     550404      63275        576
fs/*.o                               548934 |     513069      25649      10216
fs/ubifs/built-in.a                  253794 |     253274        452         68
fs/jffs2/built-in.a                  120298 |     119658        460        180
fs/proc/built-in.a                   105073 |     104476        585         12
fs/jbd2/built-in.a                    83404 |      74453       8891         60
fs/fat/built-in.a                     67103 |      66785        286         32
fs/lockd/built-in.a                   57838 |      54407       2319       1112
fs/ext2/built-in.a                    55717 |      52985       2728          4
fs/quota/built-in.a                   48539 |      46915       1316        308
fs/iomap/built-in.a                   45639 |      39288       6215        136
fs/notify/built-in.a                  41323 |      40636        650         37
fs/cramfs/built-in.a                  37856 |       4952         64      32840
fs/kernfs/built-in.a                  26749 |      22538         87       4124
fs/configfs/built-in.a                22514 |      22171        327         16
fs/debugfs/built-in.a                 20830 |      20613        205         12
fs/autofs/built-in.a                  20425 |      20337         88          0
fs/nls/built-in.a                     11246 |      11090        152          4
fs/tracefs/built-in.a                 10973 |      10410        550         13
fs/sysfs/built-in.a                   10509 |      10313        184         12
fs/devpts/built-in.a                   4045 |       3839        198          8
fs/nfs_common/built-in.a               3798 |       3717         73          8
fs/exportfs/built-in.a                 2897 |       2880         17          0
fs/ramfs/built-in.a                    2181 |       2141         40          0
--------------------------------------------------------------------------------
sum                                 2834553 |    2492405     291650      50498
delta                                     0 |          0          0          0


kernel                                total |       text       data        bss
--------------------------------------------------------------------------------
kernel/built-in.a                   2027794 |    1581660     346611      99523
--------------------------------------------------------------------------------
kernel/*.o                           476437 |     443421      24396       8620
kernel/printk/built-in.a             310024 |      33655     207393      68976
kernel/sched/built-in.a              291126 |     263510      21660       5956
kernel/trace/built-in.a              278365 |     230697      37535      10133
kernel/time/built-in.a               148003 |     128090      16409       3504
kernel/events/built-in.a             126901 |     123687       2698        516
